	вакансия	зарплата от	зарплата до	Валюта	Локация	Опубликовано	Работодатель	Роль	Опыт	Ссылка на вакансию	средняя
23	QA специалист - тестировщик	80000	80000	RUR	Челябинск	2024-07-18	Рэд	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/101860336	80000.0
24	Тестировщик (ручное тестирование)	150000	200000	RUR	Москва	2024-07-12	Rubbles	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/103794585	175000.0
25	Программист-разработчик	100000	100000	RUR	Москва	2024-07-18	HD LED TECH	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103764869	100000.0
26	QA Engineer / Инженер по качеству	60000	150000	RUR	Санкт-Петербург	2024-07-16	Nord.Codes	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/104023297	105000.0
27	PHP Разработчик (удаленно)	100000	120000	RUR	Санкт-Петербург	2024-07-05	МирТех	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103359212	110000.0
28	Event-менеджер / организатор мероприятий	100000	160000	RUR	Москва	2024-06-26	Конференции Олега Бунина	Event-менеджер	От 1 года до 3 лет	https://hh.ru/vacancy/102736702	130000.0
29	Java разработчик	100000	100000	RUR	Брянск	2024-07-09	М-Сошал	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103604196	100000.0
30	Web-программист	60000	60000	RUR	Краснодар	2024-07-18	Усенко Ярослав Геннадьевич	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103792548	60000.0
31	Java-разработчик	100000	100000	RUR	Брянск	2024-07-13	DigitalBudget	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/98909318	100000.0
32	Middle backend разработчик, python (Django, GraphQL)	35000	70000	RUR	Волгоград	2024-07-16	Синергия	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103799015	52500.0
33	Java-junior разработчик	50000	80000	RUR	Москва	2024-07-17	Эврика Би Пи О	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/97824754	65000.0
34	Backend разработчик (SaluteRPA)	190000	230000	RUR	Санкт-Петербург	2024-07-02	Снэп АйТи	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103136862	210000.0
35	Программист PHP	90000	90000	RUR	Нижний Новгород	2024-07-14	Deutsch Online	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103859414	90000.0
36	Java developer	120000	211597	RUR	Санкт-Петербург	2024-07-16	СБЕР	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/104013076	165798.5
37	Fullstack-разработчик	80000	120000	RUR	Москва	2024-06-19	Кодит	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102296630	100000.0
38	Разработчик Android приложений	80000	80000	RUR	Ростов-на-Дону	2024-07-02	Лилиани	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103156829	80000.0
39	Java/Kotlin-разработчик	200000	300000	RUR	Москва	2024-07-03	Rubbles	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/99716978	250000.0
40	Системный аналитик (IT)	180000	250000	RUR	Новосибирск	2024-07-17	Rocket Science	Системный аналитик	От 1 года до 3 лет	https://hh.ru/vacancy/104066330	215000.0
41	Junior DevOps Engineer (DataSpace)	125000	125000	RUR	Ростов-на-Дону	2024-06-20	SberTech	Специалист технической поддержки	От 1 года до 3 лет	https://hh.ru/vacancy/102381032	125000.0
42	Backend PHP программист	140000	170000	RUR	Ростов-на-Дону	2024-07-09	Рабочие решения	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103605596	155000.0
43	Web-разработчик (Инженер-программист)(01050-1)	120000	120000	RUR	Москва	2024-06-25	Моринформсистема-Агат, Концерн	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/91683538	120000.0
44	Backend-разработчик	8000000	15000000	UZS	Ташкент	2024-07-05	APP-CLOUD	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103374278	11500000.0
45	Fullstack-разработчик	20000	40000	RUR	Самара	2024-07-19	Бирючкова Марианна Юрьевна	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103647331	30000.0
46	Java разработчик Full Stack/Backend	500000	1000000	KZT	Алматы	2024-07-10	Profit Staff Com (Профит Стафф Ком)	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103659874	750000.0
47	QA специалист - тестировщик	80000	80000	RUR	Челябинск	2024-07-18	Рэд	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/101860336	80000.0
48	Frontend Middle (Vue) (Инженер - программист)(01050-1)	130000	130000	RUR	Москва	2024-06-25	Моринформсистема-Агат, Концерн	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/91683653	130000.0
49	Разработчик (Frontend developer / Vue.js) junior+	130000	130000	RUR	Тюмень	2024-07-17	Статус	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/88609199	130000.0
50	Java back-end разработчик в ML команду ранжирования (Senior/Middle+)	220000	300000	RUR	Москва	2024-07-19	DIGINETICA	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103992268	260000.0
51	Разработчик Go в российский вендор	260000	320000	RUR	Москва	2024-06-27	Бегачева Екатерина Борисовна	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102839441	290000.0
52	Go-разработчик	140000	250000	RUR	Екатеринбург	2024-07-16	InfiNet Wireless	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/104014247	195000.0
53	Backend developer	150000	150000	RUR	Краснодар	2024-06-24	Арттэк	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/100614833	150000.0
54	Web-разработчик (Backend)	50000	50000	RUR	Тула	2024-07-08	Третий Путь	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103063831	50000.0
55	Web QA Engineer	700000	1300000	KZT	Алматы	2024-06-29	Kolesa (АО Колеса)	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/96146369	1000000.0
56	Бизнес - системный аналитик	180000	230000	RUR	Москва	2024-07-19	Мисти Групп	Системный аналитик	От 1 года до 3 лет	https://hh.ru/vacancy/103998393	205000.0
57	Андроид-разработчик (Kotlin/Flutter/Java)	40000	70000	RUR	Уфа	2024-06-24	Нфт-Студия 8 Бит	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102607084	55000.0
58	Backend-разработчик	50000	50000	RUR	Санкт-Петербург	2024-07-03	ДжиТи Лайт	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103226936	50000.0
59	Frontend разработчик VUE	120000	150000	RUR	Краснодар	2024-07-18	Центр интеллектуальной безопасности	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102405840	135000.0
60	Solution architect	400000	400000	RUR	Москва	2024-07-03	Hi, Rockits!	Руководитель группы разработки	От 1 года до 3 лет	https://hh.ru/vacancy/103248004	400000.0
61	Разработчик Google Apps Script	50000	50000	RUR	Иркутск	2024-06-28	Smart Data	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102892653	50000.0
62	Программист PHP	90000	90000	RUR	Ростов-на-Дону	2024-07-14	Deutsch Online	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103859408	90000.0
63	Программист PHP	90000	90000	RUR	Волгоград	2024-07-14	Deutsch Online	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103859407	90000.0
64	Программист Java (backend)	180000	230000	RUR	Москва	2024-07-17	Кадровое агентство Аспект	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102365651	205000.0
65	Инженер-программист	70000	70000	RUR	Санкт-Петербург	2024-07-01	Северная Верфь, судостроительный завод	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/101954842	70000.0
66	Backend-разработчик Java/Kotlin	230000	300000	RUR	Москва	2024-07-05	МФТИ	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/101363695	265000.0
67	Fullstack Developer	150000	200000	RUR	Санкт-Петербург	2024-07-08	Инфоцех	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/98651592	175000.0
68	Программист PHP	90000	90000	RUR	Воронеж	2024-07-14	Deutsch Online	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103859404	90000.0
69	Ведущий разработчик отдела ИТ-разработки	300000	300000	RUR	Москва	2024-07-01	ГУП Мосгортранс	Другое	От 1 года до 3 лет	https://hh.ru/vacancy/100820238	300000.0
70	ML Engineer	127000	127000	RUR	Владивосток	2024-07-17	DNS Технологии	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103261239	127000.0
71	Fullstack-разработчик/ Backend-разработчик	90000	90000	RUR	Пермь	2024-06-24	ПК НОРД	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/99945860	90000.0
72	Backend разработчик NODE.JS	600	1700	USD	Бишкек	2024-06-24	Moore Studio	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/101512702	1150.0
73	Middle PHP-developer (remote)	150000	150000	RUR	Санкт-Петербург	2024-06-29	SoftGamings	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/85169680	150000.0
74	Программист Java/Kotlin (бэкэнд) Middle/Senior	130000	180000	RUR	Москва	2024-07-16	eRaga Infosystem	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102715228	155000.0
75	Middle / Senior Java developer	80000	220000	RUR	Самара	2024-06-21	МедиаСофт	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/46230160	150000.0
76	Middle Java Developer	180000	200000	RUR	Санкт-Петербург	2024-07-16	Braindoc	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102692635	190000.0
77	Midlle Java developer (Operations)	160000	160000	RUR	Санкт-Петербург	2024-07-04	СБЕР	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103312415	160000.0
78	Backend разработчик (middle-senior)	400000	500000	KZT	Астана	2024-07-03	KazGeoPro (КазГеоПро)	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103211226	450000.0
79	QA Automation Engineer	80000	180000	RUR	Ульяновск	2024-07-01	МедиаСофт	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/103047319	130000.0
80	Программист PHP	90000	90000	RUR	Казань	2024-07-14	Deutsch Online	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103859265	90000.0
81	Ведущий разработчик / Backend-developer/ Golang	230000	250000	RUR	Москва	2024-07-18	BIRCH	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103880414	240000.0
82	QA Automation Engineer	80000	180000	RUR	Самара	2024-06-30	МедиаСофт	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/46368256	130000.0
83	Middle backend developer (PHP + Java)	120000	120000	RUR	Санкт-Петербург	2024-06-24	Скайтек	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102557934	120000.0
84	Middle backend developer (PHP + Java)	120000	120000	RUR	Москва	2024-06-24	Скайтек	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102557886	120000.0
85	Java Developer (Jira)	180000	250000	RUR	Новосибирск	2024-07-13	InlyIT	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/86591362	215000.0
86	Backend-разработчик Kotlin/Java (middle)	85000	160000	RUR	Барнаул	2024-07-19	Биллинговый центр	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/42637341	122500.0
87	Flutter-разработчик	8000000	15000000	UZS	Ташкент	2024-07-05	APP-CLOUD	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103374468	11500000.0
88	Frontend-разработчик Angular в команду Ankey IDM	120000	120000	RUR	Санкт-Петербург	2024-07-15	Датаджайл	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/85880096	120000.0
89	Backend-разработчик PHP (Junior/Middle, Bitrix)	130000	170000	RUR	Москва	2024-07-17	Д-проджект	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/101759063	150000.0
90	DevOps Инженер/Системный администратор (SRE)	120000	120000	RUR	Новосибирск	2024-07-18	Brooma	Системный инженер	От 1 года до 3 лет	https://hh.ru/vacancy/102583128	120000.0
91	DevOps engineer (Operations)	200000	200000	RUR	Санкт-Петербург	2024-07-11	СБЕР	Специалист технической поддержки	От 1 года до 3 лет	https://hh.ru/vacancy/103718603	200000.0
92	Frontend Senior + Fullstack Developer (React.js, Node.js)	100	100	UZS	Ташкент	2024-07-02	Alif IT Development	Руководитель группы разработки	От 1 года до 3 лет	https://hh.ru/vacancy/103155290	100.0
93	Backend Java / Kotlin разработчик (Senior)	150000	250000	RUR	Новосибирск	2024-07-17	5Team (ООО ФАЙВТИМ)	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/100416328	200000.0
94	Backend (Node.js) программист для международных проектов	1000	1000	USD	Ташкент	2024-06-27	Smart Software	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102832528	1000.0
95	PHP Backend разработчик	6000000	18000000	UZS	Ташкент	2024-06-20	ALPHAZET TECHNOLOGIES	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/98585339	12000000.0
96	Backend Senior + Fullstack Developer (NextJS, Node.js)	100	100	UZS	Ташкент	2024-07-02	Alif IT Development	Руководитель группы разработки	От 1 года до 3 лет	https://hh.ru/vacancy/103155036	100.0
